asthma_COUNTY,asthma_YEAR,asthma_STRATA,asthma_STRATA NAME,asthma_AGE GROUP,asthma_NUMBER OF ED VISITS,asthma_AGE-ADJUSTED ED VISIT RATE,asthma_COMMENT,aqi_State,aqi_County,aqi_Year,aqi_Days with AQI,aqi_Good Days,aqi_Moderate Days,aqi_Unhealthy for Sensitive Groups Days,aqi_Unhealthy Days,aqi_Very Unhealthy Days,aqi_Hazardous Days,aqi_Max AQI,aqi_90th Percentile AQI,aqi_Median AQI,aqi_Days CO,aqi_Days NO2,aqi_Days Ozone,aqi_Days PM2.5,aqi_Days PM10
Santa Clara,2016,Total population,All ages,All ages,5534,29.1,,California,Santa Clara,2016,366,272,93,1,0,0,0,101,61,40,0,14,191,161,0
Santa Cruz,2016,Total population,All ages,All ages,864,34.4,,California,Santa Cruz,2016,366,347,19,0,0,0,0,72,45,32,0,0,255,111,0
Shasta,2016,Total population,All ages,All ages,726,46.4,,California,Shasta,2016,366,298,54,14,0,0,0,140,74,41,0,0,363,3,0
Siskiyou,2016,Total population,All ages,All ages,128,33.7,,California,Siskiyou,2016,362,356,6,0,0,0,0,93,43,27,0,0,342,20,0
Solano,2016,Total population,All ages,All ages,3349,80.8,,California,Solano,2016,366,278,86,2,0,0,0,105,62,40,0,3,208,155,0
Sonoma,2016,Total population,All ages,All ages,1682,36.6,,California,Sonoma,2016,366,348,18,0,0,0,0,87,44,32,0,0,298,64,4
Stanislaus,2016,Total population,All ages,All ages,2763,51.3,,California,Stanislaus,2016,366,147,176,40,3,0,0,164,103,55,0,1,202,159,4
Sutter,2016,Total population,All ages,All ages,324,33.7,,California,Sutter,2016,366,166,168,32,0,0,0,147,97,53,0,0,204,162,0
Tehama,2016,Total population,All ages,All ages,335,55.9,,California,Tehama,2016,366,226,98,37,5,0,0,174,108,44,0,0,325,40,1
Trinity,2016,Total population,All ages,All ages,55,52.7,,California,Trinity,2016,167,116,51,0,0,0,0,96,70,38,0,0,0,167,0
Tulare,2016,Total population,All ages,All ages,1980,40.5,,California,Tulare,2016,366,80,162,102,22,0,0,177,145,77,0,0,222,137,7
Tuolumne,2016,Total population,All ages,All ages,224,46.9,,California,Tuolumne,2016,354,223,86,38,7,0,0,164,108,44,0,0,354,0,0
Ventura,2016,Total population,All ages,All ages,2619,32.4,,California,Ventura,2016,366,173,184,9,0,0,0,147,84,51,0,0,232,127,7
Yolo,2016,Total population,All ages,All ages,774,38.4,,California,Yolo,2016,366,293,69,4,0,0,0,115,61,40,0,1,281,83,1
Alameda,2016,Child vs. adult,0-17 years,0-17 years,3435,98.5,,California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0
Alpine,2016,Child vs. adult,0-17 years,0-17 years,0,0,,California,Alpine,2016,24,22,2,0,0,0,0,65,47,22,0,0,0,24,0
Amador,2016,Child vs. adult,0-17 years,0-17 years,56,100.4,,California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0
Butte,2016,Child vs. adult,0-17 years,0-17 years,226,49.9,,California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0
Calaveras,2016,Child vs. adult,0-17 years,0-17 years,40,53.8,,California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1
Colusa,2016,Child vs. adult,0-17 years,0-17 years,26,43.1,,California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19
Contra Costa,2016,Child vs. adult,0-17 years,0-17 years,2185,88.8,,California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0
Del Norte,2016,Child vs. adult,0-17 years,0-17 years,71,120.8,,California,Del Norte,2016,177,172,5,0,0,0,0,65,40,20,0,0,0,177,0
El Dorado,2016,Child vs. adult,0-17 years,0-17 years,155,44.5,,California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0
Fresno,2016,Child vs. adult,0-17 years,0-17 years,4066,143.1,,California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12
Glenn,2016,Child vs. adult,0-17 years,0-17 years,38,50.6,,California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9
Humboldt,2016,Child vs. adult,0-17 years,0-17 years,160,57.7,,California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6
Imperial,2016,Child vs. adult,0-17 years,0-17 years,718,133,,California,Imperial,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130
Inyo,2016,Child vs. adult,0-17 years,0-17 years,39,96.8,,California,Inyo,2016,366,244,99,15,4,1,3,426,87,44,0,0,313,16,37
Kern,2016,Child vs. adult,0-17 years,0-17 years,2228,86.8,,California,Kern,2016,366,70,180,102,14,0,0,169,136,80,0,0,231,128,7
Kings,2016,Child vs. adult,0-17 years,0-17 years,510,111,,California,Kings,2016,366,85,207,71,3,0,0,156,115,70,0,0,184,133,49
Lake,2016,Child vs. adult,0-17 years,0-17 years,108,79.6,,California,Lake,2016,365,358,7,0,0,0,0,74,44,33,0,0,363,2,0
Los Angeles,2016,Child vs. adult,0-17 years,0-17 years,20462,88.5,,California,Los Angeles,2016,366,32,230,81,19,4,0,210,134,75,0,33,174,157,2
Madera,2016,Child vs. adult,0-17 years,0-17 years,595,140.3,,California,Madera,2016,366,123,193,47,3,0,0,156,105,59,0,0,217,134,15
Marin,2016,Child vs. adult,0-17 years,0-17 years,166,33,,California,Marin,2016,366,339,27,0,0,0,0,90,48,32,0,14,221,131,0
Mariposa,2016,Child vs. adult,0-17 years,0-17 years,22,77.6,,California,Mariposa,2016,366,219,127,19,1,0,0,159,93,46,0,0,270,80,16
Mendocino,2016,Child vs. adult,0-17 years,0-17 years,128,66.7,,California,Mendocino,2016,364,334,30,0,0,0,0,66,45,33,0,0,193,167,4
Merced,2016,Child vs. adult,0-17 years,0-17 years,1039,130.9,,California,Merced,2016,366,158,173,33,2,0,0,151,100,53,0,0,225,138,3
Mono,2016,Child vs. adult,0-17 years,0-17 years,14,49.4,,California,Mono,2016,366,314,19,3,6,0,24,6403,63,18,0,0,0,19,347
Monterey,2016,Child vs. adult,0-17 years,0-17 years,758,65.4,,California,Monterey,2016,366,325,30,3,8,0,0,176,52,36,0,0,262,63,41
Napa,2016,Child vs. adult,0-17 years,0-17 years,148,51.6,,California,Napa,2016,366,296,70,0,0,0,0,90,56,37,0,2,166,197,1
Nevada,2016,Child vs. adult,0-17 years,0-17 years,60,37.4,,California,Nevada,2016,366,235,86,40,5,0,0,179,101,44,0,0,359,7,0
Orange,2016,Child vs. adult,0-17 years,0-17 years,3872,53.7,,California,Orange,2016,366,149,202,13,2,0,0,169,87,54,0,30,173,162,1
Placer,2016,Child vs. adult,0-17 years,0-17 years,288,38.4,,California,Placer,2016,366,241,105,17,3,0,0,166,80,44,0,7,237,121,1
Plumas,2016,Child vs. adult,0-17 years,0-17 years,22,70.4,,California,Plumas,2016,355,250,94,10,1,0,0,152,73,32,0,0,0,355,0
Riverside,2016,Child vs. adult,0-17 years,0-17 years,3951,66.5,,California,Riverside,2016,366,44,193,86,37,4,2,389,154,82,0,0,210,97,59
Sacramento,2016,Child vs. adult,0-17 years,0-17 years,2825,78.2,,California,Sacramento,2016,366,187,138,34,7,0,0,172,101,49,0,5,221,140,0
San Benito,2016,Child vs. adult,0-17 years,0-17 years,120,83.2,,California,San Benito,2016,366,305,56,5,0,0,0,126,61,39,0,0,352,14,0
San Bernardino,2016,Child vs. adult,0-17 years,0-17 years,4679,81.2,,California,San Bernardino,2016,366,28,200,78,48,12,0,217,172,83,0,37,204,116,9
San Diego,2016,Child vs. adult,0-17 years,0-17 years,4085,51,,California,San Diego,2016,366,69,255,40,2,0,0,164,105,66,0,4,224,138,0
San Francisco,2016,Child vs. adult,0-17 years,0-17 years,930,67.7,,California,San Francisco,2016,366,311,55,0,0,0,0,67,53,36,1,45,154,166,0
San Joaquin,2016,Child vs. adult,0-17 years,0-17 years,1587,80.1,,California,San Joaquin,2016,366,138,202,25,1,0,0,166,93,55,0,2,144,217,3
San Luis Obispo,2016,Child vs. adult,0-17 years,0-17 years,268,54.3,,California,San Luis Obispo,2016,366,177,180,8,1,0,0,156,84,51,0,0,249,75,42
San Mateo,2016,Child vs. adult,0-17 years,0-17 years,782,48.2,,California,San Mateo,2016,366,303,63,0,0,0,0,67,54,37,1,26,119,220,0
Santa Barbara,2016,Child vs. adult,0-17 years,0-17 years,685,67.8,,California,Santa Barbara,2016,366,261,93,9,2,0,1,315,67,44,0,0,259,72,35
Santa Clara,2016,Child vs. adult,0-17 years,0-17 years,1676,37.4,,California,Santa Clara,2016,366,272,93,1,0,0,0,101,61,40,0,14,191,161,0
Santa Cruz,2016,Child vs. adult,0-17 years,0-17 years,332,56,,California,Santa Cruz,2016,366,347,19,0,0,0,0,72,45,32,0,0,255,111,0
Shasta,2016,Child vs. adult,0-17 years,0-17 years,255,68.5,,California,Shasta,2016,366,298,54,14,0,0,0,140,74,41,0,0,363,3,0
Siskiyou,2016,Child vs. adult,0-17 years,0-17 years,29,33.2,,California,Siskiyou,2016,362,356,6,0,0,0,0,93,43,27,0,0,342,20,0
Solano,2016,Child vs. adult,0-17 years,0-17 years,1079,108.9,,California,Solano,2016,366,278,86,2,0,0,0,105,62,40,0,3,208,155,0
Sonoma,2016,Child vs. adult,0-17 years,0-17 years,535,55.1,,California,Sonoma,2016,366,348,18,0,0,0,0,87,44,32,0,0,298,64,4
Stanislaus,2016,Child vs. adult,0-17 years,0-17 years,1062,73.3,,California,Stanislaus,2016,366,147,176,40,3,0,0,164,103,55,0,1,202,159,4
Sutter,2016,Child vs. adult,0-17 years,0-17 years,126,50.7,,California,Sutter,2016,366,166,168,32,0,0,0,147,97,53,0,0,204,162,0
Tehama,2016,Child vs. adult,0-17 years,0-17 years,112,72.6,,California,Tehama,2016,366,226,98,37,5,0,0,174,108,44,0,0,325,40,1
Trinity,2016,Child vs. adult,0-17 years,0-17 years,12,56.9,,California,Trinity,2016,167,116,51,0,0,0,0,96,70,38,0,0,0,167,0
Tulare,2016,Child vs. adult,0-17 years,0-17 years,960,66.4,,California,Tulare,2016,366,80,162,102,22,0,0,177,145,77,0,0,222,137,7
Tuolumne,2016,Child vs. adult,0-17 years,0-17 years,52,59.3,,California,Tuolumne,2016,354,223,86,38,7,0,0,164,108,44,0,0,354,0,0
Ventura,2016,Child vs. adult,0-17 years,0-17 years,1164,58.8,,California,Ventura,2016,366,173,184,9,0,0,0,147,84,51,0,0,232,127,7
Yolo,2016,Child vs. adult,0-17 years,0-17 years,287,59.4,,California,Yolo,2016,366,293,69,4,0,0,0,115,61,40,0,1,281,83,1
Alameda,2016,Child vs. adult,18+ years,18+ years,5651,43.7,,California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0
Amador,2016,Child vs. adult,18+ years,18+ years,131,48.4,,California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0
Butte,2016,Child vs. adult,18+ years,18+ years,544,34,,California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0
Calaveras,2016,Child vs. adult,18+ years,18+ years,131,42.3,,California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1
Colusa,2016,Child vs. adult,18+ years,18+ years,41,25,,California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19
Contra Costa,2016,Child vs. adult,18+ years,18+ years,3836,45.7,,California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0
Del Norte,2016,Child vs. adult,18+ years,18+ years,101,53.9,,California,Del Norte,2016,177,172,5,0,0,0,0,65,40,20,0,0,0,177,0
El Dorado,2016,Child vs. adult,18+ years,18+ years,409,32.4,,California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0
Fresno,2016,Child vs. adult,18+ years,18+ years,2864,41.1,,California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12
Glenn,2016,Child vs. adult,18+ years,18+ years,65,31.3,,California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9
Humboldt,2016,Child vs. adult,18+ years,18+ years,655,66.8,,California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6
Imperial,2016,Child vs. adult,18+ years,18+ years,569,43.1,,California,Imperial,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130
Inyo,2016,Child vs. adult,18+ years,18+ years,51,38.8,,California,Inyo,2016,366,244,99,15,4,1,3,426,87,44,0,0,313,16,37
Kern,2016,Child vs. adult,18+ years,18+ years,2780,43.3,,California,Kern,2016,366,70,180,102,14,0,0,169,136,80,0,0,231,128,7
Kings,2016,Child vs. adult,18+ years,18+ years,517,49,,California,Kings,2016,366,85,207,71,3,0,0,156,115,70,0,0,184,133,49
Lake,2016,Child vs. adult,18+ years,18+ years,379,79.4,,California,Lake,2016,365,358,7,0,0,0,0,74,44,33,0,0,363,2,0
Los Angeles,2016,Child vs. adult,18+ years,18+ years,30316,38.6,,California,Los Angeles,2016,366,32,230,81,19,4,0,210,134,75,0,33,174,157,2
Madera,2016,Child vs. adult,18+ years,18+ years,361,32.3,,California,Madera,2016,366,123,193,47,3,0,0,156,105,59,0,0,217,134,15
Marin,2016,Child vs. adult,18+ years,18+ years,377,19.7,,California,Marin,2016,366,339,27,0,0,0,0,90,48,32,0,14,221,131,0
Mariposa,2016,Child vs. adult,18+ years,18+ years,44,34.1,,California,Mariposa,2016,366,219,127,19,1,0,0,159,93,46,0,0,270,80,16
Mendocino,2016,Child vs. adult,18+ years,18+ years,323,52.8,,California,Mendocino,2016,364,334,30,0,0,0,0,66,45,33,0,0,193,167,4
Merced,2016,Child vs. adult,18+ years,18+ years,1172,61.2,,California,Merced,2016,366,158,173,33,2,0,0,151,100,53,0,0,225,138,3
Mono,2016,Child vs. adult,18+ years,18+ years,19,20.8,,California,Mono,2016,366,314,19,3,6,0,24,6403,63,18,0,0,0,19,347
Monterey,2016,Child vs. adult,18+ years,18+ years,1201,37,,California,Monterey,2016,366,325,30,3,8,0,0,176,52,36,0,0,262,63,41
Napa,2016,Child vs. adult,18+ years,18+ years,291,27.2,,California,Napa,2016,366,296,70,0,0,0,0,90,56,37,0,2,166,197,1
Nevada,2016,Child vs. adult,18+ years,18+ years,207,32.3,,California,Nevada,2016,366,235,86,40,5,0,0,179,101,44,0,0,359,7,0
Orange,2016,Child vs. adult,18+ years,18+ years,5006,20.7,,California,Orange,2016,366,149,202,13,2,0,0,169,87,54,0,30,173,162,1
Placer,2016,Child vs. adult,18+ years,18+ years,680,24.8,,California,Placer,2016,366,241,105,17,3,0,0,166,80,44,0,7,237,121,1
Plumas,2016,Child vs. adult,18+ years,18+ years,77,58.3,,California,Plumas,2016,355,250,94,10,1,0,0,152,73,32,0,0,0,355,0
Riverside,2016,Child vs. adult,18+ years,18+ years,5645,32.7,,California,Riverside,2016,366,44,193,86,37,4,2,389,154,82,0,0,210,97,59
Sacramento,2016,Child vs. adult,18+ years,18+ years,6128,54.7,,California,Sacramento,2016,366,187,138,34,7,0,0,172,101,49,0,5,221,140,0
San Benito,2016,Child vs. adult,18+ years,18+ years,148,36.8,,California,San Benito,2016,366,305,56,5,0,0,0,126,61,39,0,0,352,14,0
San Bernardino,2016,Child vs. adult,18+ years,18+ years,6656,41.8,,California,San Bernardino,2016,366,28,200,78,48,12,0,217,172,83,0,37,204,116,9
San Diego,2016,Child vs. adult,18+ years,18+ years,5983,24,,California,San Diego,2016,366,69,255,40,2,0,0,164,105,66,0,4,224,138,0
San Francisco,2016,Child vs. adult,18+ years,18+ years,2067,28.4,,California,San Francisco,2016,366,311,55,0,0,0,0,67,53,36,1,45,154,166,0
San Joaquin,2016,Child vs. adult,18+ years,18+ years,2658,49.6,,California,San Joaquin,2016,366,138,202,25,1,0,0,166,93,55,0,2,144,217,3
San Luis Obispo,2016,Child vs. adult,18+ years,18+ years,658,32.4,,California,San Luis Obispo,2016,366,177,180,8,1,0,0,156,84,51,0,0,249,75,42
San Mateo,2016,Child vs. adult,18+ years,18+ years,1600,27,,California,San Mateo,2016,366,303,63,0,0,0,0,67,54,37,1,26,119,220,0
Santa Barbara,2016,Child vs. adult,18+ years,18+ years,956,27.3,,California,Santa Barbara,2016,366,261,93,9,2,0,1,315,67,44,0,0,259,72,35
Santa Clara,2016,Child vs. adult,18+ years,18+ years,3858,26.1,,California,Santa Clara,2016,366,272,93,1,0,0,0,101,61,40,0,14,191,161,0
Santa Cruz,2016,Child vs. adult,18+ years,18+ years,532,26.9,,California,Santa Cruz,2016,366,347,19,0,0,0,0,72,45,32,0,0,255,111,0
Shasta,2016,Child vs. adult,18+ years,18+ years,471,38.7,,California,Shasta,2016,366,298,54,14,0,0,0,140,74,41,0,0,363,3,0
Siskiyou,2016,Child vs. adult,18+ years,18+ years,99,33.9,,California,Siskiyou,2016,362,356,6,0,0,0,0,93,43,27,0,0,342,20,0
Solano,2016,Child vs. adult,18+ years,18+ years,2270,71,,California,Solano,2016,366,278,86,2,0,0,0,105,62,40,0,3,208,155,0
Sonoma,2016,Child vs. adult,18+ years,18+ years,1147,30.2,,California,Sonoma,2016,366,348,18,0,0,0,0,87,44,32,0,0,298,64,4
Stanislaus,2016,Child vs. adult,18+ years,18+ years,1701,43.6,,California,Stanislaus,2016,366,147,176,40,3,0,0,164,103,55,0,1,202,159,4
Sutter,2016,Child vs. adult,18+ years,18+ years,198,27.8,,California,Sutter,2016,366,166,168,32,0,0,0,147,97,53,0,0,204,162,0
Tehama,2016,Child vs. adult,18+ years,18+ years,223,50.2,,California,Tehama,2016,366,226,98,37,5,0,0,174,108,44,0,0,325,40,1
Trinity,2016,Child vs. adult,18+ years,18+ years,43,51.2,,California,Trinity,2016,167,116,51,0,0,0,0,96,70,38,0,0,0,167,0
Tulare,2016,Child vs. adult,18+ years,18+ years,1020,31.6,,California,Tulare,2016,366,80,162,102,22,0,0,177,145,77,0,0,222,137,7
Tuolumne,2016,Child vs. adult,18+ years,18+ years,172,42.6,,California,Tuolumne,2016,354,223,86,38,7,0,0,164,108,44,0,0,354,0,0
Ventura,2016,Child vs. adult,18+ years,18+ years,1455,23.2,,California,Ventura,2016,366,173,184,9,0,0,0,147,84,51,0,0,232,127,7
Yolo,2016,Child vs. adult,18+ years,18+ years,487,31.1,,California,Yolo,2016,366,293,69,4,0,0,0,115,61,40,0,1,281,83,1
Alameda,2016,Age groups,0-4 years,0-4 years,1329,137.4,,California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0
Alpine,2016,Age groups,0-4 years,0-4 years,0,0,,California,Alpine,2016,24,22,2,0,0,0,0,65,47,22,0,0,0,24,0
Amador,2016,Age groups,0-4 years,0-4 years,13,94,,California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0
Butte,2016,Age groups,0-4 years,0-4 years,60,49.4,,California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0
Contra Costa,2016,Age groups,0-4 years,0-4 years,740,118.7,,California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0
Del Norte,2016,Age groups,0-4 years,0-4 years,19,119.9,,California,Del Norte,2016,177,172,5,0,0,0,0,65,40,20,0,0,0,177,0
El Dorado,2016,Age groups,0-4 years,0-4 years,42,53.8,,California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0
Fresno,2016,Age groups,0-4 years,0-4 years,1621,206.3,,California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12
Glenn,2016,Age groups,0-4 years,0-4 years,13,66.7,,California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9
Humboldt,2016,Age groups,0-4 years,0-4 years,57,76.2,,California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6
Imperial,2016,Age groups,0-4 years,0-4 years,177,105.6,,California,Imperial,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130
Inyo,2016,Age groups,0-4 years,0-4 years,20,168.4,,California,Inyo,2016,366,244,99,15,4,1,3,426,87,44,0,0,313,16,37
Kern,2016,Age groups,0-4 years,0-4 years,704,100.4,,California,Kern,2016,366,70,180,102,14,0,0,169,136,80,0,0,231,128,7
Kings,2016,Age groups,0-4 years,0-4 years,187,157,,California,Kings,2016,366,85,207,71,3,0,0,156,115,70,0,0,184,133,49
Lake,2016,Age groups,0-4 years,0-4 years,37,98.5,,California,Lake,2016,365,358,7,0,0,0,0,74,44,33,0,0,363,2,0
Los Angeles,2016,Age groups,0-4 years,0-4 years,6606,103.7,,California,Los Angeles,2016,366,32,230,81,19,4,0,210,134,75,0,33,174,157,2
Madera,2016,Age groups,0-4 years,0-4 years,224,196.7,,California,Madera,2016,366,123,193,47,3,0,0,156,105,59,0,0,217,134,15
Marin,2016,Age groups,0-4 years,0-4 years,55,46.6,,California,Marin,2016,366,339,27,0,0,0,0,90,48,32,0,14,221,131,0
Mendocino,2016,Age groups,0-4 years,0-4 years,44,83.9,,California,Mendocino,2016,364,334,30,0,0,0,0,66,45,33,0,0,193,167,4
Merced,2016,Age groups,0-4 years,0-4 years,330,157.8,,California,Merced,2016,366,158,173,33,2,0,0,151,100,53,0,0,225,138,3
Monterey,2016,Age groups,0-4 years,0-4 years,251,78.3,,California,Monterey,2016,366,325,30,3,8,0,0,176,52,36,0,0,262,63,41
Napa,2016,Age groups,0-4 years,0-4 years,50,68.1,,California,Napa,2016,366,296,70,0,0,0,0,90,56,37,0,2,166,197,1
Nevada,2016,Age groups,0-4 years,0-4 years,18,44.6,,California,Nevada,2016,366,235,86,40,5,0,0,179,101,44,0,0,359,7,0
Orange,2016,Age groups,0-4 years,0-4 years,1451,75.9,,California,Orange,2016,366,149,202,13,2,0,0,169,87,54,0,30,173,162,1
Placer,2016,Age groups,0-4 years,0-4 years,98,53.1,,California,Placer,2016,366,241,105,17,3,0,0,166,80,44,0,7,237,121,1
Riverside,2016,Age groups,0-4 years,0-4 years,1137,74.5,,California,Riverside,2016,366,44,193,86,37,4,2,389,154,82,0,0,210,97,59
Sacramento,2016,Age groups,0-4 years,0-4 years,974,99.6,,California,Sacramento,2016,366,187,138,34,7,0,0,172,101,49,0,5,221,140,0
San Benito,2016,Age groups,0-4 years,0-4 years,26,71.3,,California,San Benito,2016,366,305,56,5,0,0,0,126,61,39,0,0,352,14,0
San Bernardino,2016,Age groups,0-4 years,0-4 years,1424,93.7,,California,San Bernardino,2016,366,28,200,78,48,12,0,217,172,83,0,37,204,116,9
San Diego,2016,Age groups,0-4 years,0-4 years,1677,75,,California,San Diego,2016,366,69,255,40,2,0,0,164,105,66,0,4,224,138,0
San Francisco,2016,Age groups,0-4 years,0-4 years,482,110.9,,California,San Francisco,2016,366,311,55,0,0,0,0,67,53,36,1,45,154,166,0
San Joaquin,2016,Age groups,0-4 years,0-4 years,504,98.8,,California,San Joaquin,2016,366,138,202,25,1,0,0,166,93,55,0,2,144,217,3
San Luis Obispo,2016,Age groups,0-4 years,0-4 years,81,62,,California,San Luis Obispo,2016,366,177,180,8,1,0,0,156,84,51,0,0,249,75,42
San Mateo,2016,Age groups,0-4 years,0-4 years,335,77.9,,California,San Mateo,2016,366,303,63,0,0,0,0,67,54,37,1,26,119,220,0
Santa Barbara,2016,Age groups,0-4 years,0-4 years,215,74.7,,California,Santa Barbara,2016,366,261,93,9,2,0,1,315,67,44,0,0,259,72,35
Santa Clara,2016,Age groups,0-4 years,0-4 years,582,47.6,,California,Santa Clara,2016,366,272,93,1,0,0,0,101,61,40,0,14,191,161,0
Santa Cruz,2016,Age groups,0-4 years,0-4 years,115,71.7,,California,Santa Cruz,2016,366,347,19,0,0,0,0,72,45,32,0,0,255,111,0
Shasta,2016,Age groups,0-4 years,0-4 years,86,86.9,,California,Shasta,2016,366,298,54,14,0,0,0,140,74,41,0,0,363,3,0
Solano,2016,Age groups,0-4 years,0-4 years,321,123.1,,California,Solano,2016,366,278,86,2,0,0,0,105,62,40,0,3,208,155,0
Sonoma,2016,Age groups,0-4 years,0-4 years,173,68.8,,California,Sonoma,2016,366,348,18,0,0,0,0,87,44,32,0,0,298,64,4
Stanislaus,2016,Age groups,0-4 years,0-4 years,306,79.9,,California,Stanislaus,2016,366,147,176,40,3,0,0,164,103,55,0,1,202,159,4
Sutter,2016,Age groups,0-4 years,0-4 years,44,68,,California,Sutter,2016,366,166,168,32,0,0,0,147,97,53,0,0,204,162,0
Tehama,2016,Age groups,0-4 years,0-4 years,30,69.1,,California,Tehama,2016,366,226,98,37,5,0,0,174,108,44,0,0,325,40,1
Tulare,2016,Age groups,0-4 years,0-4 years,354,92.7,,California,Tulare,2016,366,80,162,102,22,0,0,177,145,77,0,0,222,137,7
Tuolumne,2016,Age groups,0-4 years,0-4 years,16,69.9,,California,Tuolumne,2016,354,223,86,38,7,0,0,164,108,44,0,0,354,0,0
Ventura,2016,Age groups,0-4 years,0-4 years,397,76.6,,California,Ventura,2016,366,173,184,9,0,0,0,147,84,51,0,0,232,127,7
Yolo,2016,Age groups,0-4 years,0-4 years,99,78.9,,California,Yolo,2016,366,293,69,4,0,0,0,115,61,40,0,1,281,83,1
Alameda,2016,Age groups,5-17 years,5-17 years,2106,84.2,,California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0
Alpine,2016,Age groups,5-17 years,5-17 years,0,0,,California,Alpine,2016,24,22,2,0,0,0,0,65,47,22,0,0,0,24,0
Amador,2016,Age groups,5-17 years,5-17 years,43,102.8,,California,Amador,2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0
Butte,2016,Age groups,5-17 years,5-17 years,166,50.1,,California,Butte,2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0
Calaveras,2016,Age groups,5-17 years,5-17 years,35,63,,California,Calaveras,2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1
Colusa,2016,Age groups,5-17 years,5-17 years,19,41.6,,California,Colusa,2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19
Contra Costa,2016,Age groups,5-17 years,5-17 years,1445,77.8,,California,Contra Costa,2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0
Del Norte,2016,Age groups,5-17 years,5-17 years,52,121.1,,California,Del Norte,2016,177,172,5,0,0,0,0,65,40,20,0,0,0,177,0
El Dorado,2016,Age groups,5-17 years,5-17 years,113,41.1,,California,El Dorado,2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0
Fresno,2016,Age groups,5-17 years,5-17 years,2445,120,,California,Fresno,2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12
Glenn,2016,Age groups,5-17 years,5-17 years,25,44.6,,California,Glenn,2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9
Humboldt,2016,Age groups,5-17 years,5-17 years,103,51,,California,Humboldt,2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6
Imperial,2016,Age groups,5-17 years,5-17 years,541,143,,California,Imperial,2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130
Inyo,2016,Age groups,5-17 years,5-17 years,19,70.6,,California,Inyo,2016,366,244,99,15,4,1,3,426,87,44,0,0,313,16,37
Kern,2016,Age groups,5-17 years,5-17 years,1524,81.9,,California,Kern,2016,366,70,180,102,14,0,0,169,136,80,0,0,231,128,7
Kings,2016,Age groups,5-17 years,5-17 years,323,94.2,,California,Kings,2016,366,85,207,71,3,0,0,156,115,70,0,0,184,133,49
Lake,2016,Age groups,5-17 years,5-17 years,71,72.7,,California,Lake,2016,365,358,7,0,0,0,0,74,44,33,0,0,363,2,0
